KLUB,CZAS,MIN MŁ PL,% MŁ PL,ZAW,MŁ PL,G,3,% G MŁ PL,,604730,79153,"13,09%",579,139,818,81,"9,90%"
Bruk-Bet Nieciecza,33573,4228,"12,59%",38,7,36,3,"8,33%"
Cracovia,33646,4099,"12,18%",32,7,40,6,"15,00%"
Górnik Łęczna,33526,4093,"12,21%",33,7,29,1,"3,45%"
Górnik Zabrze,33650,3808,"11,32%",30,8,55,9,"16,36%"
Jagiellonia Białystok,33572,6392,"19,04%",38,14,39,5,"12,82%"
Lech Poznań,33628,4074,"12,11%",29,6,67,11,"16,42%"
Lechia Gdańsk,33651,3800,"11,29%",31,7,52,6,"11,54%"
Legia Warszawa,33594,5547,"16,51%",39,10,46,4,"8,70%"
Piast Gliwice,33660,4086,"12,14%",29,3,45,4,"8,89%"
Pogoń Szczecin,33621,3358,"9,99%",27,5,63,10,"15,87%"
Radomiak Radom,33585,3157,"9,40%",29,4,42,0,"0,00%"
Raków Częstochowa,33588,3808,"11,34%",36,7,60,2,"3,33%"
Stal Mielec,33593,3395,"10,11%",35,9,39,3,"7,69%"
Śląsk Wrocław,33535,4276,"12,75%",33,9,42,6,"14,29%"
Warta Poznań,33579,3589,"10,69%",34,9,35,1,"2,86%"
Wisła Kraków,33509,7438,"22,20%",34,8,37,3,"8,11%"
Wisła Płock,33607,3166,"9,42%",32,9,48,3,"6,25%"
Zagłębie Lubin,33613,6839,"20,35%",39,13,43,4,"9,30%"
