KLUB,CZAS,MIN ZAGR,% ZAGR,ZAW,ZAGR,G,G ZAGR,% G ZAGR,,604507,296506,"49,05%",522,233,756,398,"52,65%"
Cracovia,33608,22075,"65,68%",31,16,41,20,"48,78%"
Górnik Zabrze,33651,19521,"58,01%",33,16,45,21,"46,67%"
Jagiellonia Białystok,33574,21792,"64,91%",31,15,48,37,"77,08%"
Korona Kielce,33549,13603,"40,55%",34,12,39,12,"30,77%"
Lech Poznań,33600,20638,"61,42%",29,16,51,31,"60,78%"
Lechia Gdańsk,33417,17794,"53,25%",28,14,29,10,"34,48%"
Legia Warszawa,33586,14681,"43,71%",28,15,57,35,"61,40%"
Miedź Legnica,33529,22919,"68,36%",31,19,33,27,"81,82%"
Piast Gliwice,33406,11922,"35,69%",25,11,37,8,"21,62%"
Pogoń Szczecin,33660,17251,"51,25%",30,14,57,26,"45,61%"
Radomiak Radom,33579,20909,"62,27%",33,18,34,25,"73,53%"
Raków Częstochowa,33598,24230,"72,12%",30,16,63,40,"63,49%"
Stal Mielec,33643,4731,"14,06%",26,7,36,13,"36,11%"
Śląsk Wrocław,33612,18001,"53,56%",29,9,35,29,"82,86%"
Warta Poznań,33630,12698,"37,76%",29,9,37,21,"56,76%"
Widzew Łódź,33660,14908,"44,29%",27,10,38,16,"42,11%"
Wisła Płock,33574,9668,"28,80%",33,10,41,16,"39,02%"
Zagłębie Lubin,33631,9165,"27,25%",31,11,35,11,"31,43%"
