KLUB,CZAS,MIN MŁ PL,% MŁ PL,ZAW,MŁ PL,G,G MŁ PL,% G MŁ PL
Cracovia,33608,4149,"12,35%",31,7,41,11,"26,83%"
Górnik Zabrze,33651,4507,"13,39%",33,8,45,12,"26,67%"
Jagiellonia Białystok,33574,3786,"11,28%",31,8,48,5,"10,42%"
Korona Kielce,33549,3161,"9,42%",34,7,39,0,"0,00%"
Lech Poznań,33600,3191,"9,50%",29,7,51,7,"13,73%"
Lechia Gdańsk,33417,3033,"9,08%",28,7,29,0,"0,00%"
Legia Warszawa,33586,6503,"19,36%",28,5,57,9,"15,79%"
Miedź Legnica,33529,3188,"9,51%",31,4,33,3,"9,09%"
Piast Gliwice,33406,5331,"15,96%",25,4,37,2,"5,41%"
Pogoń Szczecin,33660,3254,"9,67%",30,6,57,5,"8,77%"
Radomiak Radom,33579,3224,"9,60%",33,5,34,0,"0,00%"
Raków Częstochowa,33598,1042,"3,10%",30,4,63,0,"0,00%"
Stal Mielec,33643,3027,"9,00%",26,6,36,5,"13,89%"
Śląsk Wrocław,33612,4004,"11,91%",29,9,35,3,"8,57%"
Warta Poznań,33630,5244,"15,59%",29,9,37,3,"8,11%"
Widzew Łódź,33660,3050,"9,06%",27,7,38,4,"10,53%"
Wisła Płock,33574,3160,"9,41%",33,7,41,3,"7,32%"
Zagłębie Lubin,33631,8155,"24,25%",31,7,35,9,"25,71%"
