KLUB,DLA,PRZECIW,% WYK.,% WYK.przeciw,BILANS
Cracovia,47,50,"29,79%","30,00%",-3
Górnik Zabrze,58,65,"24,14%","36,92%",-7
Jagiellonia Białystok,52,79,"42,31%","25,32%",-27
Lech Poznań,67,50,"26,87%","44,00%",17
Lechia Gdańsk,59,55,"28,81%","32,73%",4
Legia Warszawa,66,39,"42,42%","20,51%",27
Piast Gliwice,58,56,"27,59%","32,14%",2
Podbeskidzie Bielsko-Biała,49,80,"38,78%","35,00%",-31
Pogoń Szczecin,57,40,"26,32%","32,50%",17
Raków Częstochowa,86,33,"30,23%","33,33%",53
Stal Mielec,55,59,"29,09%","35,59%",-4
Śląsk Wrocław,42,63,"42,86%","23,81%",-21
Warta Poznań,39,50,"41,03%","32,00%",-11
Wisła Kraków,49,58,"22,45%","32,76%",-9
Wisła Płock,51,56,"39,22%","35,71%",-5
Zagłębie Lubin,58,60,"34,48%","36,67%",-2
